Wavelength	Extrapolation Prescription	Cutoff prescription
nm	cm^2	cm^2
229.829	3.42E-28	
229.894	3.33E-28	
229.959	3.24E-28	
230.024	3.15E-28	
230.088	3.07E-28	
230.153	2.99E-28	
230.218	2.91E-28	
230.283	2.83E-28	
230.348	2.75E-28	
230.413	2.68E-28	
